,Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Payment Method,Frequency of Purchases,Date,IQR_Purchase Amount (USD),IQR_Previous Purchases
0,1,55.0,Male,Blouse,Clothing,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,Venmo,Fortnightly,2020-01-01 00:00:00.000000000,53.0,14.0
1,2,19.0,Male,Sweater,Clothing,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,Cash,Fortnightly,2020-01-01 06:44:24.683252115,64.0,2.0
2,3,50.0,Male,Jeans,Clothing,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly,2020-01-01 13:28:49.366504231,73.0,23.0
3,4,21.0,Male,Sandals,Footwear,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,PayPal,Weekly,2020-01-01 20:13:14.049756347,90.0,49.0
4,5,45.0,Male,Blouse,Clothing,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,PayPal,Annually,2020-01-02 02:57:38.733008463,49.0,31.5
5,6,46.0,Male,Sneakers,Footwear,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,Venmo,Weekly,2020-01-02 09:42:03.416260579,20.0,14.0
6,7,63.0,Male,Shirt,Clothing,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,Cash,Quarterly,2020-01-02 16:26:28.099512695,85.0,49.0
7,8,27.0,Male,Shorts,Clothing,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly,2020-01-02 23:10:52.782764811,34.0,19.0
8,9,44.022402159244265,Male,Coat,Outerwear,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,Venmo,Annually,2020-01-03 05:55:17.466016927,97.0,8.0
9,10,57.0,Male,Handbag,Accessories,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,Cash,Quarterly,2020-01-03 12:39:42.149269043,31.0,4.0
10,11,53.0,Male,Shoes,Footwear,Idaho,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,Bank Transfer,Bi-Weekly,2020-01-03 19:24:06.832521159,34.0,26.0
11,12,30.0,Male,Shorts,Clothing,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,Bank Transfer,Fortnightly,2020-01-04 02:08:31.515773275,62.0,10.0
12,13,61.0,Male,Coat,Outerwear,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,Venmo,Fortnightly,2020-01-04 08:52:56.199025391,72.0,37.0
13,14,65.0,Male,Dress,Clothing,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,PayPal,Weekly,2020-01-04 15:37:20.882277507,51.0,31.0
14,15,44.022402159244265,Male,Coat,Outerwear,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,Debit Card,Weekly,2020-01-04 15:37:20.882277507,53.0,34.0
15,16,64.0,Male,Skirt,Clothing,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,PayPal,Monthly,2020-01-05 05:06:10.248781738,81.0,39.0
16,17,25.0,Male,Sunglasses,Accessories,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly,2020-01-05 11:50:34.932033854,36.0,44.0
17,18,44.022402159244265,Male,Dress,Clothing,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,Venmo,Quarterly,2020-01-05 18:34:59.615285970,38.0,36.0
